"destination_id","name","image_url"
"269","Rio de Janeiro","assets/images/destinations/southamerica/rio-de-janeiro.avif"
"268","Salar de Uyuni","assets/images/destinations/southamerica/salar-de-uyuni.avif"
"263","North America Trip Planner","assets/images/destinations/northamerica/trip-planner.avif"
"262","Montreal, Canada","assets/images/destinations/northamerica/montreal-canada.avif"
"261","Sedona, Arizona","assets/images/destinations/northamerica/sedona-arizona.avif"
"260","Monterrey, Mexico","assets/images/destinations/northamerica/monterrey-mexico.avif"
"259","Tulum, Mexico","assets/images/destinations/northamerica/tulum-mexico.avif"
"258","San Francisco","assets/images/destinations/northamerica/san-francisco.avif"
"257","Jasper National Park","assets/images/destinations/northamerica/jasper-national-park.avif"
"256","Orlando, Florida","assets/images/destinations/northamerica/orlando-florida.avif"
"255","Quebec City, Canada","assets/images/destinations/northamerica/quebec-city-canada.avif"
"254","Yellowknife, Canada","assets/images/destinations/northamerica/yellowknife-canada.avif"
"253","Washington D.C.","assets/images/destinations/northamerica/washington-dc.avif"
"252","Cancun, Mexico","assets/images/destinations/northamerica/cancun-mexico.avif"
"251","Los Angeles, California","assets/images/destinations/northamerica/los-angeles.avif"
"250","Vancouver, Canada","assets/images/destinations/northamerica/vancouver-canada.avif"
"249","Miami, Florida","assets/images/destinations/northamerica/miami-florida.avif"
"248","Mexico City","assets/images/destinations/northamerica/mexico-city.avif"
"247","Yellowstone National Park","assets/images/destinations/northamerica/yellowstone-national-park.avif"
"159","Paris, France","assets/images/destinations/europe/paris-france.avif"
"160","Rome, Italy","assets/images/destinations/europe/rome-italy.avif"
"161","London, United Kingdom","assets/images/destinations/europe/london-uk.avif"
"162","Barcelona, Spain","assets/images/destinations/europe/barcelona-spain.avif"
"163","Amsterdam, Netherlands","assets/images/destinations/europe/amsterdam-netherlands.avif"
"164","Vienna, Austria","assets/images/destinations/europe/vienna-austria.avif"
"165","Prague, Czech Republic","assets/images/destinations/europe/prague-czechia.avif"
"166","Santorini, Greece","assets/images/destinations/europe/santorini-greece.avif"
"167","Swiss Alps, Switzerland","assets/images/destinations/europe/swiss-alps.avif"
"168","Florence, Italy","assets/images/destinations/europe/florence-italy.avif"
"169","Venice, Italy","assets/images/destinations/europe/venice-italy.avif"
"170","Edinburgh, Scotland","assets/images/destinations/europe/edinburgh-scotland.avif"
"171","Lisbon, Portugal","assets/images/destinations/europe/lisbon-portugal.avif"
"172","Berlin, Germany","assets/images/destinations/europe/berlin-germany.avif"
"173","Stockholm, Sweden","assets/images/destinations/europe/stockholm-sweden.avif"
"174","Budapest, Hungary","assets/images/destinations/europe/budapest-hungary.avif"
"175","Copenhagen, Denmark","assets/images/destinations/europe/copenhagen-denmark.avif"
"176","Dubrovnik, Croatia","assets/images/destinations/europe/dubrovnik-croatia.avif"
"177","Reykjavik, Iceland","assets/images/destinations/europe/reykjavik-iceland.avif"
"178","Oslo, Norway","assets/images/destinations/europe/oslo-norway.avif"
"179","Milan, Italy","assets/images/destinations/europe/milan-italy.avif"
"180","Athens, Greece","assets/images/destinations/europe/athens-greece.avif"
"181","Bruges, Belgium","assets/images/destinations/europe/bruges-belgium.avif"
"182","Monaco","assets/images/destinations/europe/monaco.avif"
"183","Krakow, Poland","assets/images/destinations/europe/krakow-poland.avif"
"184","Helsinki, Finland","assets/images/destinations/europe/helsinki-finland.avif"
"185","Zurich, Switzerland","assets/images/destinations/europe/zurich-switzerland.avif"
"244","Grand Canyon","assets/images/destinations/northamerica/grand-canyon.avif"
"245","Niagara Falls","assets/images/destinations/northamerica/niagara-falls.avif"
"246","Banff National Park","assets/images/destinations/northamerica/banff-national-park.avif"
"264","Amazon Rainforest","assets/images/destinations/southamerica/amazon-rainforest.avif"
"265","Machu Picchu, Peru","assets/images/7wonders/machu-picchu.avif"
"266","Iguazu Falls","assets/images/destinations/southamerica/iguazu-falls.avif"
"267","Galápagos Islands","assets/images/destinations/southamerica/galapagos-islands.avif"
"215","Cairo, Egypt","assets/images/destinations/africa/cairo-egypt.avif"
"216","Marrakech, Morocco","assets/images/destinations/africa/marrakech-morocco.avif"
"217","Cape Town, South Africa","assets/images/destinations/africa/cape-town-south-africa.avif"
"218","Serengeti, Tanzania","assets/images/destinations/africa/serengeti-tanzania.avif"
"187","Alice Springs","assets/images/destinations/australia/alice-springs.avif"
"188","Auckland","assets/images/destinations/australia/auckland.avif"
"189","Brisbane","assets/images/destinations/australia/brisbane.avif"
"190","Broome","assets/images/destinations/australia/broome.avif"
"243","New York City, USA","assets/images/destinations/northamerica/new-york-city.avif"
"211","Tonga","assets/images/destinations/australia/tonga.avif"
"212","Uluru","assets/images/destinations/australia/uluru.avif"
"213","Vanuatu","assets/images/destinations/australia/vanuatu.avif"
"214","Wellington","assets/images/destinations/australia/wellington.avif"
"241","Alexandria, Egypt","assets/images/destinations/africa/alexandria-egypt.avif"
"242","African Trip Planner","assets/images/destinations/africa/trip-planner.avif"
